Order,Type,Title,Source,Source Filename,Length,Description (if available),Created,Resources
65,article,Code Changes,Generated File,065_article_15587303_Code Changes.html,00:00:57,,2018-12-06T08:33:26Z,
66,video,CreateBlog Server,Video,CreateBlog Golang Server.mp4,00:09:58,,2018-11-02T13:48:45Z,
67,video,CreateBlog Client,Video,CreateBlog Golang Client.mp4,00:05:43,,2018-11-02T13:48:45Z,
68,video,ReadBlog Server,Video,ReadBlog Golang Server.mp4,00:11:20,,2018-11-02T13:48:45Z,
69,video,ReadBlog Client,Video,ReadBlog Golang Client.mp4,00:06:33,,2018-11-02T13:48:45Z,
70,video,UpdateBlog Server,Video,UpdateBlog Golang Server.mp4,00:08:18,,2018-11-02T13:48:45Z,
71,video,UpdateBlog Client,Video,UpdateBlog Golang Client.mp4,00:03:49,,2018-11-02T13:48:45Z,
72,video,DeleteBlog Server,Video,DeleteBlog Golang Server.mp4,00:04:25,,2018-11-02T13:48:45Z,
73,video,DeleteBlog Client,Video,DeleteBlog Golang Client.mp4,00:02:13,,2018-11-02T13:48:45Z,
74,video,ListBlog Server,Video,ListBlog Golang Server.mp4,00:07:19,,2018-11-02T13:48:45Z,
75,video,ListBlog Client,Video,ListBlog Golang Client.mp4,00:02:26,,2018-11-02T13:48:45Z,
76,video,Evans CLI test with CRUD,Video,CRUD Golang CLI Play.mp4,00:04:22,,2018-11-02T13:48:45Z,
77,chapter,Next Steps,,,,,,
78,video,gRPC Services in the Real Word,Video,gRPC in Real Life.mp4,00:04:00,,2018-07-11T05:49:41Z,"ExternalLink - Google Pub/Sub .proto - https://github.com/googleapis/googleapis/blob/master/google/pubsub/v1/pubsub.proto - 2018-07-13T07:48:53Z
ExternalLink - Google Spanner .proto - https://github.com/googleapis/googleapis/blob/master/google/spanner/v1/spanner.proto - 2018-07-13T07:49:05Z"
79,article,What about Gogo?,Generated File,079_article_13521268_What about Gogo?.html,00:03:22,,2018-07-23T13:27:19Z,
80,video,Congrats & Next Steps,Video,Whats next and congratulations.mp4,00:01:09,,2018-07-11T05:49:41Z,
81,article,Bonus Lecture: Student Special Coupons for my Other courses,Generated File,081_article_15698352_Bonus Lecture: Student Special Coupons for my Other courses.html,00:10:18,,2018-12-13T18:09:59Z,
